Ax,Ay,Az,Gx,Gy,Gz,class
-0.053,-0.198,-1.045,-1.0,-7.0,0.0,0.0
-0.068,-0.196,-1.059,-1.0,-5.0,0.0,0.0
-0.082,-0.19,-1.051,-1.0,0.0,0.0,0.0
-0.054,-0.193,-1.061,0.0,0.0,0.0,0.0
-0.065,-0.188,-1.059,0.0,0.0,0.0,0.0
-0.063,-0.19,-1.041,-1.0,1.0,0.0,0.0
-0.046,-0.19,-1.053,0.0,0.0,0.0,0.0
-0.052,-0.194,-1.063,0.0,0.0,0.0,0.0
-0.056,-0.193,-1.061,0.0,0.0,0.0,0.0
-0.059,-0.193,-1.061,-1.0,0.0,0.0,0.0
-0.056,-0.193,-1.062,0.0,0.0,0.0,0.0
-0.056,-0.192,-1.057,0.0,0.0,0.0,0.0
-0.059,-0.192,-1.062,0.0,0.0,0.0,0.0
-0.051,-0.192,-1.061,0.0,0.0,0.0,0.0
-0.058,-0.197,-1.06,0.0,0.0,0.0,0.0
-0.06,-0.199,-1.059,0.0,0.0,0.0,0.0
-0.051,-0.199,-1.061,0.0,0.0,0.0,0.0
-0.054,-0.191,-1.064,0.0,0.0,0.0,0.0
-0.053,-0.192,-1.059,0.0,0.0,0.0,0.0
-0.059,-0.205,-1.064,0.0,0.0,0.0,0.0
-0.059,-0.199,-1.06,0.0,0.0,0.0,0.0
-0.052,-0.2,-1.057,0.0,0.0,0.0,0.0
-0.053,-0.195,-1.051,0.0,0.0,0.0,0.0
-0.056,-0.197,-1.057,0.0,0.0,0.0,0.0
-0.051,-0.192,-1.075,-1.0,0.0,0.0,0.0
-0.052,-0.198,-1.067,-1.0,0.0,0.0,0.0
-0.06,-0.196,-1.06,0.0,0.0,1.0,0.0
-0.055,-0.193,-1.065,-1.0,0.0,0.0,0.0
-0.054,-0.193,-1.063,0.0,0.0,1.0,0.0
-0.044,-0.197,-1.057,0.0,1.0,0.0,0.0
-0.051,-0.19,-1.059,0.0,0.0,0.0,0.0
-0.056,-0.196,-1.054,0.0,0.0,0.0,0.0
-0.058,-0.196,-1.06,0.0,0.0,0.0,0.0
-0.05,-0.19,-1.068,-1.0,0.0,0.0,0.0
-0.045,-0.194,-1.06,-1.0,0.0,0.0,0.0
-0.041,-0.189,-1.065,0.0,0.0,1.0,0.0
-0.052,-0.195,-1.061,0.0,0.0,0.0,0.0
-0.055,-0.19,-1.059,0.0,0.0,0.0,0.0
-0.073,-0.106,-1.064,-7.0,6.0,0.0,0.0
-0.082,-0.091,-1.071,-10.0,-1.0,0.0,0.0
-0.121,-0.059,-1.064,-10.0,-5.0,1.0,0.0
-0.157,-0.064,-1.042,-8.0,-2.0,0.0,0.0
-0.149,-0.076,-1.074,-3.0,2.0,0.0,0.0
-0.115,-0.088,-1.074,-5.0,2.0,0.0,0.0
-0.105,-0.066,-1.067,-4.0,-1.0,0.0,0.0
-0.145,-0.064,-1.058,-1.0,0.0,0.0,0.0
-0.145,-0.067,-1.066,0.0,1.0,0.0,0.0
-0.129,-0.071,-1.055,-1.0,2.0,0.0,0.0
-0.125,-0.071,-1.066,-1.0,3.0,1.0,0.0
-0.112,-0.072,-1.064,-1.0,2.0,1.0,0.0
-0.115,-0.067,-1.074,-1.0,1.0,1.0,0.0
-0.108,-0.069,-1.071,-1.0,0.0,1.0,0.0
-0.115,-0.067,-1.075,0.0,0.0,0.0,0.0
-0.118,-0.068,-1.064,-1.0,-1.0,0.0,0.0
-0.139,-0.07,-1.066,-1.0,-1.0,0.0,0.0
-0.126,-0.065,-1.07,-1.0,0.0,1.0,0.0
-0.112,-0.067,-1.065,-1.0,0.0,1.0,0.0
-0.12,-0.067,-1.063,-1.0,0.0,1.0,0.0
-0.123,-0.066,-1.056,-1.0,1.0,0.0,0.0
-0.108,-0.062,-1.065,0.0,0.0,0.0,0.0
-0.116,-0.066,-1.076,0.0,0.0,0.0,0.0
-0.119,-0.067,-1.072,-1.0,0.0,0.0,0.0
-0.112,-0.062,-1.073,-1.0,0.0,1.0,0.0
-0.119,-0.061,-1.072,0.0,0.0,1.0,0.0
-0.109,-0.068,-1.069,0.0,0.0,0.0,0.0
-0.122,-0.071,-1.071,-1.0,0.0,1.0,0.0
-0.105,-0.064,-1.066,0.0,-1.0,1.0,0.0
-0.104,-0.059,-1.068,0.0,-3.0,0.0,0.0
-0.11,-0.061,-1.067,0.0,-6.0,0.0,0.0
-0.106,-0.059,-1.071,-1.0,-10.0,-1.0,0.0
-0.164,-0.066,-1.067,0.0,-5.0,0.0,0.0
-0.166,-0.066,-1.068,0.0,4.0,1.0,0.0
-0.11,-0.064,-1.067,0.0,4.0,1.0,0.0
-0.106,-0.073,-1.064,0.0,0.0,0.0,0.0
-0.13,-0.072,-1.075,0.0,1.0,1.0,0.0
-0.119,-0.068,-1.07,-1.0,1.0,1.0,0.0
-0.117,-0.06,-1.062,-1.0,0.0,0.0,0.0
-0.127,-0.066,-1.063,0.0,0.0,0.0,0.0
-0.135,-0.063,-1.07,-1.0,2.0,1.0,0.0
-0.111,-0.073,-1.072,-1.0,1.0,1.0,0.0
-0.109,-0.063,-1.064,-1.0,-1.0,0.0,0.0
-0.13,-0.061,-1.077,0.0,0.0,0.0,0.0
-0.122,-0.072,-1.066,0.0,1.0,1.0,0.0
-0.116,-0.064,-1.067,0.0,0.0,0.0,0.0
-0.119,-0.066,-1.073,0.0,-1.0,0.0,0.0
-0.197,-0.063,-1.057,-1.0,0.0,-1.0,0.0
-0.107,-0.103,-1.035,0.0,-6.0,0.0,0.0
-0.2,-0.092,-1.05,0.0,-4.0,0.0,0.0
-0.184,-0.117,-1.076,0.0,-2.0,-1.0,0.0
-0.204,-0.103,-1.06,-2.0,0.0,1.0,0.0
-0.146,-0.1,-1.061,-1.0,-1.0,0.0,0.0
-0.155,-0.111,-1.048,0.0,-6.0,0.0,0.0
-0.194,-0.102,-1.052,-1.0,-6.0,-1.0,0.0
-0.205,-0.102,-1.053,-1.0,-2.0,-1.0,0.0
-0.176,-0.109,-1.067,-1.0,-1.0,0.0,0.0
-0.18,-0.107,-1.056,-2.0,-2.0,0.0,0.0
-0.195,-0.095,-1.041,-2.0,0.0,0.0,0.0
-0.181,-0.093,-1.045,-1.0,0.0,0.0,0.0
-0.182,-0.104,-1.055,-1.0,0.0,0.0,0.0
-0.172,-0.115,-1.06,-1.0,-2.0,0.0,0.0
-0.205,-0.112,-1.057,-3.0,-1.0,0.0,0.0
-0.193,-0.097,-1.051,-2.0,1.0,0.0,0.0
-0.184,-0.09,-1.051,-2.0,0.0,0.0,0.0
-0.184,-0.098,-1.063,-1.0,0.0,0.0,0.0
-0.173,-0.099,-1.061,-1.0,0.0,0.0,0.0
-0.189,-0.106,-1.055,-1.0,0.0,1.0,0.0
-0.182,-0.107,-1.055,-2.0,-1.0,1.0,0.0
-0.189,-0.097,-1.052,-2.0,0.0,1.0,0.0
-0.179,-0.095,-1.049,-1.0,0.0,0.0,0.0
-0.193,-0.097,-1.046,-1.0,-1.0,0.0,0.0
-0.19,-0.101,-1.057,-1.0,-1.0,0.0,0.0
-0.197,-0.091,-1.061,-1.0,-2.0,1.0,0.0
-0.196,-0.093,-1.057,-1.0,0.0,1.0,0.0
-0.192,-0.089,-1.056,-1.0,0.0,0.0,0.0
-0.187,-0.094,-1.055,-1.0,0.0,0.0,0.0
-0.173,-0.098,-1.05,-2.0,0.0,1.0,0.0
-0.197,-0.105,-1.067,-4.0,-1.0,2.0,0.0
-0.189,-0.091,-1.055,-5.0,-1.0,2.0,0.0
-0.188,-0.083,-1.048,-3.0,0.0,1.0,0.0
-0.182,-0.083,-1.048,-1.0,0.0,0.0,0.0
-0.181,-0.085,-1.05,0.0,0.0,0.0,0.0
-0.196,-0.096,-1.061,0.0,0.0,0.0,0.0
-0.198,-0.092,-1.047,0.0,0.0,0.0,0.0
-0.193,-0.09,-1.057,0.0,0.0,0.0,0.0
-0.19,-0.088,-1.065,0.0,0.0,0.0,0.0
-0.193,-0.087,-1.056,0.0,0.0,0.0,0.0
-0.197,-0.096,-1.059,0.0,0.0,0.0,0.0
-0.194,-0.091,-1.058,0.0,0.0,0.0,0.0
-0.313,-0.064,-1.024,-1.0,11.0,2.0,0.0
-0.293,-0.065,-0.983,-1.0,2.0,1.0,0.0
-0.336,-0.092,-0.998,0.0,-3.0,1.0,0.0
-0.385,-0.104,-1.016,-1.0,-2.0,1.0,0.0
-0.389,-0.098,-1.032,-1.0,0.0,0.0,0.0
-0.383,-0.08,-0.991,-3.0,4.0,0.0,0.0
-0.338,-0.078,-0.981,-2.0,5.0,0.0,0.0
-0.337,-0.068,-0.995,-1.0,0.0,0.0,0.0
-0.345,-0.083,-1.015,0.0,0.0,1.0,0.0
-0.368,-0.089,-1.015,-2.0,3.0,0.0,0.0
-0.357,-0.084,-1.011,-3.0,4.0,0.0,0.0
-0.333,-0.077,-1.001,-2.0,1.0,0.0,0.0
-0.342,-0.075,-1.007,-2.0,0.0,0.0,0.0
-0.342,-0.072,-1.0,-1.0,1.0,0.0,0.0
-0.334,-0.08,-1.014,0.0,-1.0,0.0,0.0
-0.357,-0.072,-1.007,-1.0,-1.0,0.0,0.0
-0.356,-0.075,-1.009,-1.0,1.0,1.0,0.0
-0.34,-0.067,-1.014,-1.0,0.0,1.0,0.0
-0.338,-0.074,-1.008,0.0,0.0,0.0,0.0
-0.345,-0.084,-1.005,0.0,0.0,0.0,0.0
-0.35,-0.076,-1.016,-1.0,0.0,0.0,0.0
-0.353,-0.077,-1.0,-1.0,0.0,0.0,0.0
-0.342,-0.073,-1.008,0.0,0.0,0.0,0.0
-0.343,-0.078,-0.996,0.0,0.0,0.0,0.0
-0.339,-0.074,-1.008,0.0,0.0,0.0,0.0
-0.339,-0.082,-1.012,0.0,-1.0,0.0,0.0
-0.353,-0.07,-1.004,-1.0,-1.0,0.0,0.0
-0.333,-0.068,-1.012,0.0,0.0,0.0,0.0
-0.34,-0.072,-1.002,0.0,-3.0,1.0,0.0
-0.358,-0.076,-1.007,0.0,-3.0,1.0,0.0
-0.357,-0.076,-1.007,0.0,-2.0,0.0,0.0
-0.354,-0.079,-1.008,0.0,-1.0,0.0,0.0
-0.355,-0.081,-1.005,0.0,0.0,0.0,0.0
-0.351,-0.077,-1.004,0.0,0.0,0.0,0.0
-0.347,-0.076,-1.007,0.0,0.0,0.0,0.0
-0.34,-0.08,-1.008,0.0,0.0,0.0,0.0
-0.35,-0.08,-1.01,0.0,0.0,0.0,0.0
-0.339,-0.075,-1.002,0.0,-1.0,0.0,0.0
-0.354,-0.078,-1.002,0.0,-1.0,0.0,0.0
-0.359,-0.085,-1.005,0.0,0.0,0.0,0.0
-0.354,-0.071,-1.0,0.0,0.0,0.0,0.0
-0.346,-0.075,-1.006,0.0,-1.0,1.0,0.0
-0.351,-0.076,-0.994,0.0,-1.0,0.0,0.0
-0.355,-0.082,-1.005,0.0,-1.0,0.0,0.0
-0.356,-0.079,-1.018,0.0,-1.0,0.0,0.0
-0.362,-0.075,-0.995,-1.0,0.0,0.0,0.0
-0.354,-0.081,-1.01,0.0,0.0,0.0,0.0
-0.351,-0.079,-1.0,-1.0,0.0,0.0,0.0
-0.36,-0.074,-1.017,0.0,0.0,0.0,0.0
-0.362,-0.071,-0.994,-1.0,0.0,0.0,0.0
-0.364,-0.077,-0.997,0.0,0.0,0.0,0.0
-0.34,-0.08,-1.011,-1.0,0.0,0.0,0.0
-0.354,-0.08,-1.002,-1.0,0.0,0.0,0.0
-0.229,-0.178,-1.062,-2.0,0.0,3.0,1.0
-0.234,-0.187,-1.091,-6.0,2.0,9.0,1.0
-0.225,-0.196,-1.112,-22.0,4.0,19.0,1.0
-0.272,-0.258,-1.198,-27.0,-4.0,26.0,1.0
-0.48,-0.274,-1.411,-31.0,1.0,31.0,1.0
-0.563,-0.31,-1.563,-50.0,32.0,26.0,1.0
-0.529,-0.288,-1.568,-66.0,15.0,33.0,1.0
-0.533,-0.268,-1.674,-75.0,-25.0,56.0,1.0
-0.547,-0.254,-1.662,-116.0,-12.0,72.0,1.0
-0.377,-0.27,-1.536,-157.0,23.0,76.0,1.0
-0.126,-0.276,-1.354,-187.0,47.0,75.0,1.0
0.161,-0.144,-1.097,-221.0,40.0,73.0,1.0
0.163,0.007,-0.921,-226.0,32.0,65.0,1.0
0.108,0.077,-0.759,-232.0,37.0,52.0,1.0
0.087,0.185,-0.569,-243.0,37.0,40.0,1.0
-0.008,0.276,-0.421,-247.0,35.0,37.0,1.0
-0.077,0.375,-0.273,-223.0,36.0,38.0,1.0
0.058,0.528,-0.202,-193.0,35.0,43.0,1.0
-0.044,0.479,-0.174,-175.0,38.0,35.0,1.0
-0.017,0.581,-0.048,-177.0,71.0,31.0,1.0
0.131,0.678,0.121,-177.0,65.0,22.0,1.0
0.195,0.837,0.188,-151.0,45.0,20.0,1.0
0.228,0.923,0.219,-111.0,24.0,18.0,1.0
0.157,0.997,0.196,-72.0,24.0,14.0,1.0
0.169,1.029,0.163,-46.0,36.0,12.0,1.0
0.221,1.052,0.151,-27.0,37.0,7.0,1.0
0.252,1.054,0.101,-5.0,20.0,3.0,1.0
0.215,1.045,0.003,0.0,-2.0,2.0,1.0
0.183,0.947,-0.057,-21.0,-25.0,2.0,1.0
0.124,1.097,0.029,0.0,-14.0,-2.0,1.0
0.224,0.955,-0.004,36.0,-23.0,-29.0,1.0
-0.258,-0.148,-1.127,-7.0,-8.0,9.0,1.0
-0.284,-0.208,-1.219,-19.0,-22.0,27.0,1.0
-0.434,-0.259,-1.364,-24.0,-49.0,37.0,1.0
-0.75,-0.37,-1.495,-35.0,-20.0,36.0,1.0
-0.62,-0.299,-1.536,-71.0,7.0,39.0,1.0
-0.636,-0.263,-1.517,-92.0,-11.0,48.0,1.0
-0.599,-0.125,-1.405,-103.0,-13.0,62.0,1.0
-0.595,-0.156,-1.344,-115.0,5.0,71.0,1.0
-0.346,-0.205,-1.285,-163.0,14.0,85.0,1.0
-0.206,-0.081,-1.202,-220.0,36.0,87.0,1.0
-0.104,0.08,-1.114,-241.0,79.0,67.0,1.0
0.036,0.149,-0.833,-250.0,79.0,62.0,1.0
0.021,0.27,-0.657,-250.0,48.0,74.0,1.0
0.055,0.412,-0.404,-250.0,22.0,56.0,1.0
0.018,0.472,-0.234,-231.0,15.0,56.0,1.0
